"","Cell","Batch","Group","ExpLibSize","Step","sizeFactor"
"Cell105","Cell105","Batch1","3","56110.8646443722","34","0.917689163036391"
"Cell106","Cell106","Batch1","1","49569.9583019037","93","0.801962620633132"
"Cell107","Cell107","Batch1","1","51370.6358027225","56","0.838049215463644"
"Cell108","Cell108","Batch1","2","49476.0575980689","28","0.814418157457306"
"Cell109","Cell109","Batch1","4","55292.8624759391","41","0.90490541707324"
"Cell110","Cell110","Batch1","2","56260.9848608169","80","0.928913915589401"
"Cell111","Cell111","Batch1","4","70208.0701387443","35","1.1655691152487"
"Cell112","Cell112","Batch1","3","72932.210745783","20","1.19435305673698"
"Cell113","Cell113","Batch1","2","51077.2089307179","69","0.862369512661833"
"Cell114","Cell114","Batch1","2","56287.9863872934","14","0.936315031673331"
"Cell115","Cell115","Batch1","1","64362.661476107","48","1.06159246002082"
"Cell116","Cell116","Batch1","1","79202.1101667854","87","1.30920984492195"
"Cell117","Cell117","Batch1","3","59206.4587881108","69","0.981082758229781"
"Cell118","Cell118","Batch1","1","42626.2398558126","72","0.696509024279851"
"Cell119","Cell119","Batch1","2","62715.9141762181","65","1.02809871738822"
"Cell120","Cell120","Batch1","3","58464.9007400472","95","0.95054289784798"
"Cell121","Cell121","Batch1","4","85348.5356173343","13","1.37688656937899"
"Cell122","Cell122","Batch1","2","64131.0825841924","26","1.0639391553645"
"Cell123","Cell123","Batch1","2","52859.3580387973","56","0.869163441838655"
"Cell124","Cell124","Batch1","1","54835.635324183","79","0.90562747717899"
"Cell125","Cell125","Batch1","3","54119.0020259119","100","0.893877590003616"
"Cell126","Cell126","Batch1","2","62143.8431351013","59","1.01748115174232"
"Cell127","Cell127","Batch1","2","62024.4263309403","62","1.0084718108774"
"Cell128","Cell128","Batch1","1","71909.9299070859","62","1.15365512350384"
"Cell129","Cell129","Batch1","1","63833.6235395696","21","1.04181785939746"
"Cell130","Cell130","Batch1","2","55640.2723327806","74","0.927322101265363"
"Cell131","Cell131","Batch1","2","49606.5291909548","84","0.801749284692797"
"Cell132","Cell132","Batch1","1","67978.0804781385","33","1.10599915652439"
"Cell133","Cell133","Batch1","1","59130.5093905557","63","0.971466230457758"
"Cell134","Cell134","Batch1","3","62104.1177153148","21","1.018547831444"
"Cell135","Cell135","Batch1","4","74662.1241980036","25","1.22700986606518"
"Cell136","Cell136","Batch1","2","85000.0500018851","47","1.39797400655825"
"Cell137","Cell137","Batch1","2","49475.6895627229","82","0.810791446471611"
"Cell138","Cell138","Batch1","2","83184.4816983575","49","1.35803095434476"
"Cell139","Cell139","Batch1","4","50344.9348415344","84","0.824707513964232"
"Cell140","Cell140","Batch1","2","63150.1459183675","46","1.03182389111561"
"Cell141","Cell141","Batch1","3","62597.091789424","28","1.01506881457084"
"Cell142","Cell142","Batch1","3","56648.3589619482","13","0.926731324815205"
"Cell143","Cell143","Batch1","1","79130.2579325975","20","1.27840741722896"
"Cell144","Cell144","Batch1","1","52481.5836827538","28","0.865897760905834"
"Cell145","Cell145","Batch1","3","68330.141328987","37","1.13301076866219"
"Cell146","Cell146","Batch1","2","59715.6172095959","45","0.975732949264458"
"Cell147","Cell147","Batch1","1","49697.2033686913","57","0.814401747000357"
"Cell148","Cell148","Batch1","3","76338.8932607848","70","1.2552030311033"
"Cell149","Cell149","Batch1","1","39431.9597207459","35","0.647490989373649"
"Cell150","Cell150","Batch1","4","53893.7344471736","69","0.873512212930099"
"Cell151","Cell151","Batch1","3","43990.0823614888","65","0.733022290991032"
"Cell152","Cell152","Batch1","2","62246.9124549902","75","1.03154491334748"
"Cell153","Cell153","Batch1","2","63125.7791762863","20","1.02642485077944"
"Cell154","Cell154","Batch1","2","47870.4156987335","37","0.767664765610045"
"Cell155","Cell155","Batch1","2","68199.3689754534","38","1.13525900126418"
"Cell156","Cell156","Batch1","1","48699.3008294881","9","0.792444555602802"
"Cell157","Cell157","Batch1","2","68311.970919325","31","1.11807725283874"
"Cell158","Cell158","Batch1","1","62790.9277804281","59","1.0148882995444"
"Cell159","Cell159","Batch1","1","69082.3941581199","86","1.12467425653218"
"Cell160","Cell160","Batch1","1","49627.6487639597","68","0.813499171868171"
"Cell161","Cell161","Batch1","1","61026.9471358721","72","1.01101543170448"
"Cell162","Cell162","Batch1","4","54580.7271057618","24","0.898127898353367"
"Cell163","Cell163","Batch1","2","44632.7676437829","71","0.733744351096781"
"Cell164","Cell164","Batch1","3","61730.7398827051","16","0.993308548656671"
"Cell165","Cell165","Batch1","4","85370.2127644231","81","1.41261213415662"
"Cell166","Cell166","Batch1","2","52595.4983990831","88","0.86069564605305"
"Cell167","Cell167","Batch1","1","57528.5430717173","53","0.955909117270252"
"Cell168","Cell168","Batch1","2","68723.6553097032","10","1.15204689872285"
"Cell169","Cell169","Batch1","3","60308.5462764698","61","0.983002781692796"
"Cell170","Cell170","Batch1","2","88318.7106204017","14","1.46233581871163"
"Cell171","Cell171","Batch1","3","69386.1630378468","76","1.1499135393195"
"Cell172","Cell172","Batch1","4","95250.6185188807","70","1.56189806102027"
"Cell173","Cell173","Batch1","4","64201.5009866297","71","1.04984257284544"
"Cell174","Cell174","Batch1","2","47725.2872648398","40","0.790229143914708"
"Cell175","Cell175","Batch1","2","65138.2395990444","98","1.06359453576858"
"Cell176","Cell176","Batch1","4","49766.0721465691","3","0.801404665096871"
"Cell177","Cell177","Batch1","3","48951.6094445737","49","0.808871423008596"
"Cell178","Cell178","Batch1","3","57647.6714644886","34","0.954448586601805"
"Cell179","Cell179","Batch1","3","72170.260820643","55","1.20436343547577"
"Cell180","Cell180","Batch1","4","64137.3399556753","26","1.03999629867614"
"Cell181","Cell181","Batch1","1","70460.253895844","25","1.16481423422906"
"Cell182","Cell182","Batch1","1","71902.6356684153","51","1.17315074635907"
"Cell183","Cell183","Batch1","4","57851.205681406","70","0.971499051371655"
"Cell184","Cell184","Batch1","2","37032.5960188044","19","0.608286407722857"
"Cell185","Cell185","Batch1","4","70205.4603916777","90","1.16107265004472"
"Cell186","Cell186","Batch1","1","92394.5408220537","53","1.52699301909008"
"Cell187","Cell187","Batch1","3","60577.3718125347","67","0.981263273256219"
"Cell188","Cell188","Batch1","3","45661.7894509516","22","0.738962876406514"
"Cell189","Cell189","Batch1","4","55630.6644386663","66","0.918296349943498"
"Cell190","Cell190","Batch1","2","49667.0236674531","39","0.81876692854875"
"Cell191","Cell191","Batch1","3","59377.5896762421","93","0.96276868827487"
"Cell192","Cell192","Batch1","2","68543.4000578246","87","1.12613478720063"
"Cell193","Cell193","Batch1","1","71202.7862501415","73","1.17018045365133"
"Cell194","Cell194","Batch1","4","62757.6024955358","26","1.02273249796595"
"Cell195","Cell195","Batch1","1","49672.461966649","21","0.815320732589493"
"Cell196","Cell196","Batch1","2","70449.4304936248","56","1.15381922807333"
"Cell197","Cell197","Batch1","1","78406.6254474375","98","1.29439120229714"
"Cell198","Cell198","Batch1","4","93936.7117447071","39","1.54466708122398"
"Cell199","Cell199","Batch1","2","54245.1850761333","38","0.894878627877496"
"Cell200","Cell200","Batch1","3","65829.1823549112","15","1.0803660227703"
"Cell201","Cell201","Batch1","1","76018.9806302961","22","1.24176286686219"
"Cell202","Cell202","Batch1","1","58496.4241491169","39","0.951806503033041"
"Cell203","Cell203","Batch1","2","66500.9632268743","67","1.09940215283096"
"Cell204","Cell204","Batch1","1","62497.6538272368","46","1.01045747616821"
"Cell205","Cell205","Batch1","1","58285.5854022496","5","0.964130756201624"
"Cell206","Cell206","Batch1","2","61926.3974287826","7","1.02073042221819"
"Cell207","Cell207","Batch1","2","72616.435094557","69","1.19054583072485"
"Cell208","Cell208","Batch1","1","64974.8650659851","83","1.06576071608582"
"Cell209","Cell209","Batch1","1","54541.2381028961","54","0.885606719701398"
"Cell210","Cell210","Batch1","3","38255.5300331885","52","0.615884449290173"
"Cell211","Cell211","Batch1","4","51071.7794800352","82","0.842020546045264"
"Cell212","Cell212","Batch1","1","59635.6588224052","54","0.978489906031864"
"Cell213","Cell213","Batch1","3","36210.8825515613","10","0.595371378104116"
"Cell214","Cell214","Batch1","4","93170.8707611062","51","1.51716315537772"
"Cell215","Cell215","Batch1","4","44455.6594264531","94","0.713034354427338"
"Cell216","Cell216","Batch1","2","47469.829741118","98","0.777035136527836"
"Cell217","Cell217","Batch1","3","80141.3832925313","5","1.3375835249865"
"Cell218","Cell218","Batch1","4","38639.2860139543","84","0.633542100967131"
"Cell219","Cell219","Batch1","4","69411.8260548065","74","1.15060277851136"
"Cell220","Cell220","Batch1","2","55893.2134335841","78","0.897553532360157"
"Cell221","Cell221","Batch1","1","65589.7916874456","38","1.08540403305359"
"Cell222","Cell222","Batch1","1","71369.2263922071","59","1.15536181102652"
"Cell223","Cell223","Batch1","2","49429.7236434026","68","0.80882219163775"
"Cell224","Cell224","Batch1","2","51991.2664644012","33","0.858316129795468"
"Cell225","Cell225","Batch1","4","32879.6807428107","78","0.534554224651694"
"Cell226","Cell226","Batch1","2","49404.1414751335","19","0.808559624326568"
"Cell227","Cell227","Batch1","1","64604.3904306044","78","1.07237413023621"
"Cell228","Cell228","Batch1","1","66238.2598223636","23","1.08258143445839"
"Cell229","Cell229","Batch1","2","89806.3712189806","14","1.44932232635119"
"Cell230","Cell230","Batch1","4","60653.0623792492","82","1.00573126456695"
"Cell231","Cell231","Batch1","2","65691.9538988764","40","1.06958435255491"
"Cell232","Cell232","Batch1","1","60776.3290029936","64","0.988910546194381"
"Cell233","Cell233","Batch1","2","54319.1846955287","87","0.883046688417378"
"Cell234","Cell234","Batch1","3","69548.6762549934","80","1.13686722604517"
"Cell235","Cell235","Batch1","2","65699.5211607783","57","1.07511467654667"
"Cell236","Cell236","Batch1","3","61444.1610946838","11","1.00105428433653"
"Cell237","Cell237","Batch1","3","50863.8568957289","57","0.830172196128198"
"Cell238","Cell238","Batch1","2","59395.272203708","84","0.97271342518587"
"Cell239","Cell239","Batch1","2","70002.3012531449","68","1.13630927050891"
"Cell240","Cell240","Batch1","2","68548.0713387486","100","1.1066391643454"
"Cell241","Cell241","Batch1","2","54364.6548624227","4","0.889249841144042"
"Cell242","Cell242","Batch1","2","52374.6150023673","76","0.869836270573557"
"Cell243","Cell243","Batch1","4","66340.7928926835","75","1.07719880457917"
"Cell244","Cell244","Batch1","1","73849.3130380272","47","1.21898515261719"
"Cell245","Cell245","Batch1","2","61341.4841363311","69","1.00505843583204"
"Cell246","Cell246","Batch1","1","56237.632145608","54","0.923826673935259"
"Cell247","Cell247","Batch1","2","50204.7967547153","15","0.826085992347935"
"Cell248","Cell248","Batch1","1","55058.0092342662","34","0.885212868734626"
"Cell249","Cell249","Batch1","2","44509.1321696496","5","0.733941276580168"
"Cell250","Cell250","Batch1","4","52080.0043350105","13","0.859366399040194"
"Cell251","Cell251","Batch1","3","75131.3367525323","51","1.22554933539673"
"Cell252","Cell252","Batch1","4","74786.0290422455","93","1.21627742722064"
"Cell253","Cell253","Batch1","2","50304.2312726712","25","0.823624423805608"
"Cell254","Cell254","Batch1","3","62451.5488704368","66","1.028492568355"
"Cell255","Cell255","Batch1","2","60710.9362374026","7","1.00661742924218"
"Cell256","Cell256","Batch1","1","42936.1852939259","85","0.707684545462015"
"Cell257","Cell257","Batch1","1","70415.4512491639","33","1.15168586866998"
"Cell258","Cell258","Batch1","2","40844.6384014125","72","0.668726120665455"
"Cell259","Cell259","Batch1","2","46660.3158270044","62","0.772653544522494"
"Cell260","Cell260","Batch1","4","73103.4535648778","28","1.17859901806609"
"Cell261","Cell261","Batch1","2","53735.3016595662","79","0.886673399403073"
"Cell262","Cell262","Batch1","2","57338.3430359351","32","0.936643240812308"
"Cell263","Cell263","Batch1","1","43287.2122568635","90","0.692898723751105"
"Cell264","Cell264","Batch1","3","44793.0022721408","34","0.721633433868533"
"Cell265","Cell265","Batch1","3","64227.1916615367","2","1.06548173831769"
"Cell266","Cell266","Batch1","1","57820.0346158856","61","0.933705769018464"
"Cell267","Cell267","Batch1","1","53194.7138120051","24","0.85160425290339"
"Cell268","Cell268","Batch1","3","45852.9377098523","38","0.75025327078732"
"Cell269","Cell269","Batch1","3","48076.0927237353","34","0.796563580296962"
"Cell270","Cell270","Batch1","1","89969.0248619937","77","1.47213286151009"
"Cell271","Cell271","Batch1","1","56089.3975305982","64","0.926353884305381"
"Cell272","Cell272","Batch1","1","69898.6099951701","26","1.15564078879465"
"Cell273","Cell273","Batch1","2","70052.5728696161","100","1.13854109265395"
"Cell274","Cell274","Batch1","1","69748.362037126","51","1.13232152947034"
"Cell275","Cell275","Batch1","1","63510.5778874854","19","1.05337082108945"
"Cell276","Cell276","Batch1","1","46608.0622667567","63","0.772752007264187"
"Cell277","Cell277","Batch1","1","48927.7133178549","28","0.792625070629239"
"Cell278","Cell278","Batch1","1","69583.1861552893","84","1.1328466640927"
"Cell279","Cell279","Batch1","2","46088.9865735701","33","0.75479896736215"
"Cell280","Cell280","Batch1","3","66536.6378081178","76","1.09122974527043"
"Cell281","Cell281","Batch1","1","53814.169511056","44","0.871772704493521"
"Cell282","Cell282","Batch1","2","55288.7536585351","20","0.899030473485554"
"Cell283","Cell283","Batch1","4","51127.9252801084","78","0.822656206845626"
"Cell284","Cell284","Batch1","2","57180.7037111332","81","0.944602312432498"
"Cell285","Cell285","Batch1","1","71356.0182999051","13","1.15683875215192"
"Cell286","Cell286","Batch1","1","65561.6785312521","15","1.07132386099148"
"Cell287","Cell287","Batch1","2","57154.1435956355","20","0.925861570596916"
"Cell288","Cell288","Batch1","1","71253.634327697","26","1.17236304442552"
"Cell289","Cell289","Batch1","1","83383.08473306","22","1.3838446031253"
"Cell290","Cell290","Batch1","1","59797.9234378981","28","0.978637600144403"
"Cell291","Cell291","Batch1","1","65781.7610119599","59","1.08056294825368"
"Cell292","Cell292","Batch1","1","63300.1976026955","31","1.04157170254323"
"Cell293","Cell293","Batch1","4","49237.9236667392","59","0.794988176429873"
"Cell294","Cell294","Batch1","2","49745.872363197","65","0.82501931264626"
"Cell295","Cell295","Batch1","2","87899.9128780436","46","1.45444238891923"
"Cell296","Cell296","Batch1","3","71414.4534815574","61","1.14912583738596"
"Cell297","Cell297","Batch1","1","69453.750832068","24","1.13627644959501"
"Cell298","Cell298","Batch1","1","61667.6450418425","74","1.01574164330574"
"Cell299","Cell299","Batch1","1","65978.0713150734","1","1.0824829717167"
"Cell300","Cell300","Batch1","4","61720.4876783158","14","1.01242673100208"
"Cell301","Cell301","Batch1","3","60379.1877469323","27","0.990124920008595"
"Cell302","Cell302","Batch1","1","62610.2613127251","22","1.04967846827596"
"Cell303","Cell303","Batch1","2","48918.3070547586","71","0.792986100682114"
"Cell304","Cell304","Batch1","2","96784.7210480879","83","1.5686591692832"
"Cell305","Cell305","Batch1","2","70290.5298398791","56","1.14389090161928"
"Cell306","Cell306","Batch1","4","56940.2873983627","43","0.923761032107464"
"Cell307","Cell307","Batch1","1","76311.4196754539","20","1.26020822047269"
"Cell308","Cell308","Batch1","4","52814.8871102637","92","0.868145993507826"
"Cell309","Cell309","Batch1","1","84307.9715745706","17","1.3773952935444"
"Cell310","Cell310","Batch1","2","55333.0295942769","4","0.905775171291529"
"Cell311","Cell311","Batch1","1","37635.454680251","81","0.615342904210861"
"Cell312","Cell312","Batch1","1","78654.7923371765","29","1.28615315290882"
"Cell313","Cell313","Batch1","4","75090.2367930706","61","1.2402531048229"
"Cell314","Cell314","Batch1","3","51284.1356184438","42","0.845171353779443"
"Cell315","Cell315","Batch1","1","45158.1028022141","96","0.74485423045115"
"Cell316","Cell316","Batch1","2","41485.3023754054","59","0.68415195019737"
"Cell317","Cell317","Batch1","1","56737.877058774","62","0.918017372175368"
"Cell318","Cell318","Batch1","2","41490.2726406955","88","0.67945855951"
"Cell319","Cell319","Batch1","4","50873.9557250357","79","0.824674693050334"
"Cell320","Cell320","Batch1","3","61865.2817231889","78","1.0198934889138"
"Cell321","Cell321","Batch1","3","71047.4927526069","7","1.15821723053562"
"Cell322","Cell322","Batch1","2","50818.0748605144","20","0.841117970913078"
"Cell323","Cell323","Batch1","2","58412.1647714015","74","0.957107080627518"
"Cell324","Cell324","Batch1","4","63006.2777483388","90","1.05591444191652"
"Cell325","Cell325","Batch1","4","84439.0513797876","26","1.40455459979474"
"Cell326","Cell326","Batch1","4","49428.9366828452","39","0.818012047529103"
"Cell327","Cell327","Batch1","4","43440.0865777477","59","0.714068213215116"
"Cell328","Cell328","Batch1","3","41393.457488976","47","0.686826854680032"
"Cell329","Cell329","Batch1","1","66912.9257225213","5","1.10076422075771"
"Cell330","Cell330","Batch1","3","59158.535506718","56","0.968971841001533"
"Cell331","Cell331","Batch1","4","69871.7893469478","81","1.14617195513517"
"Cell332","Cell332","Batch1","1","58211.1457181181","91","0.957336827024802"
"Cell333","Cell333","Batch1","2","64771.358430655","13","1.04958000553426"
"Cell334","Cell334","Batch1","4","62620.2329437958","1","1.02117350455581"
"Cell335","Cell335","Batch1","1","60156.7176642909","9","0.979064272025073"
"Cell336","Cell336","Batch1","2","52860.2790956567","19","0.857216629179895"
"Cell337","Cell337","Batch1","2","77064.797746599","65","1.26252209490248"
"Cell338","Cell338","Batch1","1","55207.0085916102","84","0.915211184037115"
"Cell339","Cell339","Batch1","2","68415.3678324975","44","1.13166511119239"
"Cell340","Cell340","Batch1","4","61878.485580965","7","1.00473022669307"
"Cell341","Cell341","Batch1","4","85502.8420700208","98","1.39817093204164"
"Cell342","Cell342","Batch1","1","69026.2946496259","53","1.14375961796369"
"Cell343","Cell343","Batch1","2","55963.8804036243","76","0.922152807326477"
"Cell344","Cell344","Batch1","2","59764.6847544682","27","0.999560932754181"
"Cell345","Cell345","Batch1","3","58392.2327034355","95","0.950805465159161"
"Cell346","Cell346","Batch1","1","39412.2034911123","93","0.646883802466542"
"Cell347","Cell347","Batch1","2","84076.1974345798","95","1.39588987852575"
"Cell348","Cell348","Batch1","1","74070.7673610395","63","1.21013991632177"
"Cell349","Cell349","Batch1","2","51363.170776199","78","0.820670541554816"
"Cell350","Cell350","Batch1","3","64627.9017291521","76","1.04354095737709"
"Cell351","Cell351","Batch1","2","62842.016464382","70","1.05338723154639"
"Cell352","Cell352","Batch1","1","47736.33456311","83","0.787619881259841"
"Cell353","Cell353","Batch1","3","80658.6622087971","73","1.30594416398913"
"Cell354","Cell354","Batch1","2","56974.0157592415","46","0.926731324815205"
"Cell355","Cell355","Batch1","4","62113.3823564491","39","1.02737665728247"
"Cell356","Cell356","Batch1","1","64924.1017920164","45","1.07352286222263"
"Cell357","Cell357","Batch1","4","49078.4396397394","97","0.804457010089357"
"Cell358","Cell358","Batch1","1","48190.3529666426","17","0.781876221327745"
"Cell359","Cell359","Batch1","4","59295.6655720349","20","0.971663155941144"
"Cell360","Cell360","Batch1","2","67185.7949908966","90","1.11092229360905"
"Cell361","Cell361","Batch1","1","60764.8093236194","46","0.989501322644539"
"Cell362","Cell362","Batch1","2","68953.601424191","89","1.11797879009705"
"Cell363","Cell363","Batch1","4","64022.8942274452","34","1.05863857777003"
"Cell364","Cell364","Batch1","1","66774.5675135321","45","1.10076422075771"
"Cell365","Cell365","Batch1","2","45225.610928221","25","0.741785475001716"
"Cell366","Cell366","Batch1","4","68556.3132794451","50","1.12644658588265"
"Cell367","Cell367","Batch1","1","51125.5632690233","46","0.838541529172109"
"Cell368","Cell368","Batch1","3","54548.976152583","80","0.898964831657758"
"Cell369","Cell369","Batch1","3","58631.6297604551","69","0.951379831152371"
"Cell370","Cell370","Batch1","2","43063.4454382178","89","0.705797342912897"
"Cell371","Cell371","Batch1","2","58693.9896501698","94","0.970826222636753"
"Cell372","Cell372","Batch1","2","54831.9576980588","74","0.918640969539424"
"Cell373","Cell373","Batch1","4","51859.7225766911","54","0.837573312212127"
"Cell374","Cell374","Batch1","1","53588.0021079452","22","0.888921632005065"
"Cell375","Cell375","Batch1","1","76810.5926957108","24","1.25922359305576"
"Cell376","Cell376","Batch1","2","46546.9020657138","52","0.773933560164504"
"Cell377","Cell377","Batch1","2","57349.7121700693","38","0.9395971230631"
